"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","69","74","6","25.633698","0","0"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","0","56","62","2","17.150488","0","0"
"/Game/Mannequin/Character/Materials/M_Male_Body.M_Male_Body","0","140","152","2","41.735733","0","0"
"Globals","0","2854","0","1","0.000000","0","0"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","0","15","16","1","5.264926","0","0"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","0","7","8","1","2.176796","0","0"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","0","24","24","1","9.311425","0","0"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","0","10","10","1","3.429993","0","0"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","0","10","10","1","3.251855","0","0"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","0","2","2","1","0.748503","0","0"
"/OculusVR/Materials/OculusMR_OpaqueColoredMaterial.OculusMR_OpaqueColoredMaterial","0","2","2","1","0.795350","0","0"
"/OculusVR/Materials/OculusMR_ChromaKey.OculusMR_ChromaKey","0","8","8","1","3.185479","0","0"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","0","4","4","1","3.383397","0","0"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","0","66","70","1","36.751419","0","0"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","0","92","96","1","46.108006","0","0"
"/Engine/EngineDebugMaterials/WireframeMaterial.WireframeMaterial","0","550","598","1","131.251251","0","0"
"/Engine/EngineDebugMaterials/VertexColorMaterial.VertexColorMaterial","0","85","90","1","25.215563","0","0"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","0","123","123","1","44.346123","0","0"
"/Engine/ArtTools/RenderToTexture/Materials/Debug/M_Emissive_Color.M_Emissive_Color","0","2","2","1","0.689795","0","0"
"/OculusVR/Materials/PokeAHoleMaterial.PokeAHoleMaterial","0","8","8","1","2.541685","0","0"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","0","8","8","1","2.639238","0","0"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","0","24","24","1","8.927472","0","0"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","0","8","8","1","2.683240","0","0"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","0","2","2","1","0.750718","0","0"
"/Engine/VREditor/TransformGizmo/Xray.Xray","0","12","12","1","5.456720","0","0"
"/Engine/VREditor/TransformGizmo/Main.Main","0","8","8","1","2.755923","0","0"
"/Engine/EngineMaterials/BaseFlattenMaterial.BaseFlattenMaterial","0","49","52","1","17.233175","0","0"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","0","44","44","1","47.993603","0","0"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","0","6","6","1","1.449397","0","0"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","17","17","1","3.428195","0","0"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","0","115","115","1","45.495487","0","0"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","0","847","871","1","221.973740","0","0"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","0","33","35","1","10.950944","0","0"
"/Game/Geometry/Meshes/CubeMaterial.CubeMaterial","0","21","21","1","9.184465","0","0"
"/Engine/EngineSky/M_Sky_Panning_Clouds2.M_Sky_Panning_Clouds2","0","2","2","1","0.778073","0","0"
"/Game/ThirdPerson/Meshes/RampMaterial.RampMaterial","0","21","21","1","9.350185","0","0"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","0","17","17","1","3.574610","0","0"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","0","7","8","1","2.056771","0","0"
